"Date","Open","High","Low","Close","Volume"
"2021-03-23","20.56","20.56","20.02","20.24","17602050"
"2021-03-24","20.25","20.28","19.96","20.16","16838770"
"2021-03-25","20.04","20.09","19.51","19.73","23092500"
"2021-03-26","19.61","20","19.61","20","20956700"
"2021-03-29","19.93","20.2","19.56","20.16","17532700"
"2021-03-30","19.69","19.745","19.44","19.51","14899430"
"2021-03-31","19.65","20.075","19.48","19.8","14160100"
"2021-04-01","20.1","20.41","19.94","20.37","13040640"
"2021-04-05","20.83","20.885","20.3525","20.63","19371250"
"2021-04-06","20.88","21.145","20.685","20.88","18430770"
"2021-04-07","20.91","20.95","20.59","20.67","12997160"
"2021-04-08","20.97","21.16","20.89","21.16","19201940"
"2021-04-09","21","21.27","20.885","21.21","14054130"
"2021-04-12","21.14","21.16","20.85","20.99","15850930"
"2021-04-13","21.15","21.47","20.97","21.1","21067030"
"2021-04-14","21.12","21.25","21.01","21.11","13973920"
"2021-04-15","21.39","22.2","21.35","21.98","22947890"
"2021-04-16","22.38","22.43","22.02","22.23","22400960"
"2021-04-19","22.27","22.4","22.02","22.11","13797000"
"2021-04-20","22.04","22.455","21.98","22.4","15561710"
"2021-04-21","22.48","22.86","22.4269","22.74","13479740"
"2021-04-22","22.54","22.56","22.23","22.41","14527250"
"2021-04-23","22.56","22.6259","22.15","22.21","11596020"
"2021-04-26","22.22","22.3","22.01","22.16","8943044"
"2021-04-27","22.15","22.15","21.59","21.64","15740450"
"2021-04-28","21.5","21.91","21.32","21.76","17101470"
"2021-04-29","21.7","21.745","21.11","21.35","20897130"
"2021-04-30","21.28","21.5199","21.15","21.25","13664050"
"2021-05-03","21.58","22.325","21.52","22.23","17421080"
"2021-05-04","22.12","22.545","21.76","22.01","16850260"
"2021-05-05","22.29","22.375","21.93","22.25","8162396"
"2021-05-06","22.58","23.595","22.57","23.55","34497240"
"2021-05-07","23.96","24.155","23.59","23.92","24229350"
"2021-05-10","24.23","24.44","23.915","23.93","19519240"
"2021-05-11","23.48","24.03","23.39","23.95","13963030"
"2021-05-12","23.95","24.18","23.4328","23.53","14419620"
"2021-05-13","23.4","23.72","23.14","23.58","11594130"
"2021-05-14","23.82","24.08","23.7","24.02","9892247"
"2021-05-17","24.28","25.29","23.99","25.27","30169660"
"2021-05-18","25.23","25.24","24.61","25.11","19029580"
"2021-05-19","24.86","25.37","24.42","24.59","23518070"
"2021-05-20","24.54","25","24.45","24.81","13655640"
"2021-05-21","25","25.05","24.49","24.7","14492390"
"2021-05-24","24.79","24.89","24.54","24.68","9151047"
"2021-05-25","24.66","24.7","24.23","24.58","19350320"
"2021-05-26","24.81","24.94","24.5","24.58","15210330"
